Lon,Lat
-76.29416656,36.77583313
-76.3068161,36.78025818
-76.29083252,36.79639053
-76.28666687,36.8069458
-76.29402924,36.83565903
-76.29027557,36.84083176
-76.24694824,36.83611298
-76.23487854,36.82727051
-76.24285889,36.81924438
-76.2436142,36.81305695
-76.23323059,36.82538986
-76.23914337,36.83525085
-76.19968414,36.8260231
-76.1958313,36.82888794
-76.22518158,36.8392601
-76.22833252,36.85583496
-76.229599,36.84030914
-76.29164886,36.8431015
-76.33083344,36.87444305
-76.33333588,36.88444519
-76.31758881,36.88577271
-76.31227112,36.90382385
-76.29380798,36.89995575
-76.29431915,36.8915062
-76.27757263,36.88638306
-76.27383423,36.87469101
-76.27249908,36.89527893
-76.25913239,36.89199829
-76.26898956,36.90048599
-76.27928925,36.8891983
-76.2896347,36.89339828
-76.28527832,36.91027832
-76.30605316,36.90602493
-76.31866455,36.91374588
-76.31771851,36.90132523
-76.32542419,36.90198135
-76.33352661,36.91664886
-76.33103943,36.96060944
-76.30162048,36.95648956
-76.28749847,36.94399643
-76.2714386,36.96048737
-76.29916382,36.96527863
-76.27749634,36.9691658
-76.22709656,36.9408493
-76.1788559,36.92968369
-76.18214417,36.91225815
-76.16361237,36.91361237
-76.17546844,36.91704178
-76.16638947,36.92166519
-76.17475891,36.92116928
-76.17554474,36.93024445
-76.09613037,36.90884781
-76.08944702,36.89777756
-76.11638641,36.88750076
-76.10851288,36.87210846
-76.13111115,36.85527802
-76.11213684,36.85775757
-76.10372162,36.87006378
-76.10882568,36.88303375
-76.09571838,36.8923645
-76.07118225,36.87700653
-76.07465363,36.87267303
-76.06916809,36.85055542
-76.06300354,36.85401154
-76.06069946,36.84559631
-76.06585693,36.8379364
-76.0561142,36.84000015
-76.07099152,36.87260437
-76.05724335,36.87709808
-76.09055328,36.90805435
-76.03833771,36.93172836
-76.00154877,36.92619324
-75.99222565,36.91860962
-75.96944427,36.8469429
-75.95249939,36.76583481
-75.8841629,36.61333466
-75.8686142,36.55083466
-75.89981079,36.55458832
-75.89944458,36.56944275
-75.88944244,36.55944443
-75.89749908,36.57027817
-75.88277435,36.56416702
-75.89685059,36.58857727
-75.88787842,36.59257126
-75.91184998,36.62135696
-75.9151535,36.66481018
-75.94337463,36.72228241
-75.97222137,36.71111298
-75.96406555,36.70160294
-75.95305634,36.70305634
-75.95083618,36.70083237
-75.97543335,36.67358398
-75.95916748,36.67527771
-75.95722198,36.66611099
-75.95055389,36.67916489
-75.95210266,36.6615448
-75.96387482,36.66732407
-75.95619965,36.65587616
-75.96334839,36.65222931
-75.96861267,36.66833496
-75.97916412,36.65527725
-75.97629547,36.64632416
-75.99277496,36.63527679
-75.98249817,36.58444595
-75.99333191,36.56583405
-75.98377991,36.55036163
-76.01302338,36.55052948
-76.01439667,36.56501007
-76.03686523,36.57651901
-76.04615784,36.59420013
-76.05873108,36.59644699
-76.0569458,36.60527802
-76.04701233,36.60554123
-76.04811096,36.61921692
-76.06170654,36.66978836
-76.06802368,36.67612839
-76.06417084,36.68794632
-76.07777405,36.70388794
-76.06615448,36.68681717
-76.06993866,36.67731094
-76.0597229,36.63444519
-76.05314636,36.63313675
-76.05750275,36.6194458
-76.04947662,36.61704636
-76.05999756,36.60327148
-76.06194305,36.59527588
-76.05063629,36.59084702
-76.03578949,36.55078506
-76.15092468,36.55038452
-76.15611267,36.55611038
-76.15132904,36.5711441
-76.15978241,36.57202911
-76.16583252,36.56861115
-76.15277863,36.57027817
-76.15777588,36.55722046
-76.15270233,36.55038071
-79.51119995,36.53913879
-80.27754211,36.54333878
-81.36976624,36.57347107
-81.67576599,36.58901215
-81.64745331,36.61249924
-81.92331696,36.61658859
-81.93522644,36.59503174
-83.25380707,36.59415054
-83.27423859,36.60005951
-83.67481995,36.6012001
-83.64803314,36.62292099
-83.52958679,36.66482925
-83.42209625,36.67000198
-83.33541107,36.70410919
-83.19584656,36.73934174
-83.13743591,36.74383926
-83.1280899,36.75762177
-83.1330719,36.78454208
-83.11200714,36.79598999
-83.09773254,36.81446075
-83.09767151,36.83108902
-83.07489014,36.84191132
-83.06993866,36.85276031
-83.03244019,36.85562897
-83.00673676,36.84704208
-82.99891663,36.85585022
-82.89344025,36.8814888
-82.87362671,36.89582062
-82.85562897,36.95296097
-82.86850739,36.96918869
-82.86530304,36.97864151
-82.83938599,36.9862709
-82.8234024,37.00629044
-82.78176117,37.00989914
-82.74465179,37.02865219
-82.73779297,37.04335022
-82.7197876,37.04840088
-82.7205658,37.12054062
-82.5005188,37.22547913
-82.34384918,37.27188873
-82.34017944,37.2808609
-82.31961823,37.28802872
-81.96734619,37.53715897
-81.94564056,37.53274918
-81.94191742,37.51530075
-81.93102264,37.5200119
